PREFIXO: ;3D-009
NOME DO POSTO: ;BUENOPOLIS
MUNICÍPIO: ;MORUNGABA
CURSO D'ÁGUA: ;JAGUARI,R
ÁREA (Km²): ;1.950,00
LATITUDE: ;22°51'02"
LONGITUDE: ;46°46'47"
 
Obs: valores com --- representam dados inexistentes.
 
Vazões médias diárias (m³/s)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Vazão Mínima;Vazão Média;Vazão Máxima
  11/1931;21,343;22,357;29,340;30,532;28,948;26,281;23,046;21,343;21,678;23,046;24,100;23,746;23,746;22,357;21,010;22,700;24,457;25,911;25,911;23,046;23,046;26,654;26,654;29,735;32,158;35,541;37,297;46,234;49,775;51,858;---;21,010;28,128;51,858
  12/1931;59,494;53,985;61,775;71,337;89,770;111,933;122,315;135,741;142,722;141,840;132,317;105,778;80,283;84,282;107,300;85,638;78,972;63,514;52,386;49,775;45,739;46,234;58,370;61,775;59,494;54,524;53,985;60,629;70,719;75,105;72,582;45,739;80,333;142,722
  01/1932;66,468;72,582;91,170;106,537;98,335;82,938;77,671;70,103;62,932;62,932;61,201;58,370;56,156;52,916;53,985;77,671;98,335;99,801;95,436;88,382;84,959;87,692;84,282;85,638;85,638;101,279;103,516;95,436;80,283;74,470;78,320;52,916;80,498;106,537
  02/1932;81,605;77,671;67,669;64,687;64,099;58,931;56,156;60,629;63,514;61,775;61,775;78,320;98,335;99,801;106,537;108,833;99,067;82,938;68,880;65,278;63,514;60,629;59,494;64,687;73,208;75,105;100,539;89,770;87,004;---;---;56,156;75,878;108,833
  03/1932;81,605;75,105;73,838;89,770;91,170;94,003;94,003;85,638;73,208;68,273;65,278;71,958;76,382;75,105;70,103;70,103;73,208;65,278;61,201;59,494;56,705;53,985;52,916;51,858;50,811;51,333;53,985;60,060;57,258;51,858;49,775;49,775;67,912;94,003
  04/1932;47,735;46,732;46,732;45,739;47,735;47,232;46,732;46,732;44,758;43,787;42,827;41,878;40,941;40,476;40,013;39,097;38,643;38,192;38,192;37,743;37,297;40,476;43,787;43,787;43,787;42,827;40,013;38,192;37,297;36,414;---;36,414;42,193;47,735
  05/1932;35,541;35,109;35,541;34,679;34,679;35,109;34,679;33,828;36,854;52,916;65,278;73,838;67,669;53,449;46,732;41,878;39,554;38,192;37,297;36,414;35,541;34,679;33,828;33,828;33,406;32,988;32,988;48,749;66,468;68,880;64,099;32,988;43,700;73,838
  06/1932;58,370;57,258;53,985;46,234;45,739;47,232;47,232;43,306;40,941;39,554;38,192;42,827;40,941;38,192;37,297;36,414;35,541;34,252;33,828;32,988;32,988;32,571;32,571;32,158;32,158;31,339;31,339;31,339;31,339;31,339;---;31,339;38,982;58,370
  07/1932;30,934;30,532;29,735;28,948;29,735;29,735;29,735;28,948;28,173;28,173;27,408;27,408;27,030;26,654;26,654;25,911;25,911;25,544;25,544;25,179;25,179;24,817;24,817;24,457;24,457;25,179;24,817;24,457;24,100;24,100;23,746;23,746;26,710;30,934
  08/1932;23,746;25,179;25,179;25,179;28,559;28,173;26,654;25,179;24,100;23,395;23,046;22,700;22,357;22,016;21,678;21,343;21,343;21,010;21,343;21,010;21,010;21,010;21,010;20,680;20,680;20,680;20,353;20,353;20,353;21,678;21,010;20,353;22,645;28,559
